board_id,market,product_name,sales_address,lat,long,height,width,facing,total_observed,audience_target_observed,audience_composition,index,day_of_week,AD_00,AD_01,AD_02,AD_03,AD_04,AD_05,AD_06,AD_07,AD_08,AD_09,AD_10,AD_11,AD_12,AD_13,AD_14,AD_15,AD_16,AD_17,AD_18,AD_19,AD_20,AD_21,AD_22,AD_23,AC_00,AC_01,AC_02,AC_03,AC_04,AC_05,AC_06,AC_07,AC_08,AC_09,AC_10,AC_11,AC_12,AC_13,AC_14,AC_15,AC_16,AC_17,AC_18,AC_19,AC_20,AC_21,AC_22,AC_23,I_00,I_01,I_02,I_03,I_04,I_05,I_06,I_07,I_08,I_09,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20,I_21,I_22,I_23
2271563,Toronto,Transit Shelter,Queen St 12 m E/O Soho Place NS: Toronto F/E-I,43.649579,-79.393194,68.3,47.3,East,771,602,0.780804,1.452626,total,0.064586,0.057051,0.027987,0.022605,0.016146,0.008611,0.005382,0.004306,0.001076,0.002153,0.005382,0.022605,0.041981,0.041981,0.040904,0.044133,0.064586,0.081808,0.092573,0.080732,0.07535,0.066738,0.062433,0.068891,0.769231,0.80303,0.764706,0.75,0.6,0.8,0.833333,0.8,0.5,0.666667,1,0.875,0.829787,0.906977,0.926829,0.719298,0.8,0.817204,0.788991,0.773196,0.804598,0.815789,0.763158,0.842105,1.103582,1.187682,1.175164,1.174876,0.956901,1.310876,1.397741,1.311779,0.805754,1.022223,1.447576,1.218259,1.164662,1.266519,1.297867,1.020101,1.133458,1.150159,1.100346,1.08327,1.131439,1.15115,1.089424,1.205708
7362260,Toronto,Transit Shelter,Lake Shore Blvd W NEC 11.4m N/O Superior Ave F/SE - L,43.615108,-79.48869,0,0,South East,313,248,0.792332,1.474073,total,0.052301,0.035565,0.033473,0.023013,0.014644,0.014644,0.004184,0.002092,0.002092,0.006276,0.012552,0.020921,0.037657,0.031381,0.041841,0.052301,0.054393,0.073222,0.098326,0.104603,0.073222,0.064854,0.073222,0.073222,0.757576,0.708333,0.888889,0.647059,0.7,0.777778,1,0.5,0.333333,1,0.75,0.833333,0.9,0.714286,0.869565,0.892857,0.742857,0.853659,0.810345,0.862069,0.777778,0.861111,0.853659,0.813953,1.086861,1.047625,1.366002,1.013619,1.116385,1.274463,1.67729,0.819862,0.537169,1.533333,1.085682,1.160246,1.263211,0.997442,1.217679,1.266241,1.052496,1.201467,1.130127,1.207784,1.093724,1.215103,1.218616,1.1654
7362260,Toronto,Transit Shelter,Lake Shore Blvd W NEC 11.4m N/O Superior Ave F/SE - L,43.615108,-79.48869,0,0,South East,68,54,0.794118,1.184427,Wed,0.014706,0.014706,0.014706,0.029412,0.014706,0.014706,0.014706,,,0.014706,0.014706,0.014706,0.073529,0.058824,0.029412,0.102941,0.044118,0.014706,0.102941,0.117647,0.088235,0.073529,0.073529,0.058824,1,0.333333,1,1,1,1,1,,,1,1,0.5,1,1,0.666667,0.875,0.75,0.5,0.777778,0.727273,0.857143,0.714286,0.833333,0.8,1.328247,0.456701,1.402092,1.419565,1.443983,1.467733,1.479971,,,1.384572,1.302772,0.636622,1.27716,1.272713,0.85055,1.143124,0.99668,0.655509,1.015079,0.941918,1.112898,0.926364,1.087682,1.05974
4940799,Toronto,Transit Shelter,Weston Rd (3227) SEC 18.5m S/O Bradstock Rd F/N - O,43.7389,-79.5392,68.3,47.3,North,428,343,0.801402,1.490947,total,0.044674,0.030928,0.024055,0.015464,0.008591,0.005155,0.001718,0.003436,0.001718,,0.017182,0.044674,0.04811,0.063574,0.046392,0.034364,0.053265,0.070447,0.092784,0.108247,0.07732,0.06701,0.068729,0.072165,0.787879,0.9,0.777778,0.75,0.714286,0.75,0.5,1,1,,0.833333,0.928571,0.848485,0.902439,0.794118,0.8,0.738095,0.854167,0.80597,0.797468,0.803571,0.906977,0.869565,0.84,1.130336,1.331101,1.195252,1.174876,1.139169,1.228946,0.838645,1.639723,1.611507,,1.206313,1.292846,1.190906,1.260182,1.112028,1.134552,1.045749,1.202182,1.124025,1.117276,1.129995,1.279824,1.241322,1.202694
3087466,Toronto,Transit Shelter,Dundas St. West W/O Gilmour SS F/W - I,43.6655,-79.4792,68.3,47.3,West,101,81,0.80198,1.18577,Sun,0.071429,0.044643,0.044643,0.026786,0.017857,0.008929,0.017857,,,0.008929,0.017857,0.026786,0.017857,0.026786,0.053571,0.0625,0.035714,0.089286,0.089286,0.098214,0.080357,0.035714,0.053571,0.071429,0.727273,0.714286,0.833333,1,0.666667,0.333333,0.666667,0,,1,1,1,0.666667,0.75,0.75,0.777778,0.8,0.714286,0.625,1,0.75,0.666667,0.75,0.888889,0.959259,0.963019,1.159804,1.411353,0.957033,0.494378,1.007141,0,,1.424719,1.374918,1.34201,0.916775,1.021597,1.001165,1.032204,1.054808,0.92324,0.794196,1.273454,0.967197,0.887409,0.994555,1.169346
2270699,Toronto,Transit Shelter,Bay St. (Tor) WS 50m S/O Front St. F/E - L,43.645618,-79.378891,68.3,47.3,East,237,191,0.805907,1.189343,Tue,0.026217,0.029963,0.018727,0.022472,0.018727,0.011236,0.003745,,0.007491,0.003745,0.026217,0.052434,0.11236,0.104869,0.05618,0.044944,0.071161,0.06367,0.037453,0.05618,0.059925,0.041199,0.059925,0.071161,0.875,0.888889,0.833333,0.75,0.714286,1,0.5,,1,1,0.875,0.823529,0.882353,0.903226,0.789474,0.666667,0.730769,0.894737,0.555556,0.789474,0.8,0.916667,0.941176,0.863636,1.165194,1.206243,1.169342,1.059412,1.023811,1.4546,0.729651,,1.436272,1.372305,1.144593,1.044466,1.127628,1.155066,1.021649,0.875257,0.953777,1.164773,0.724757,1.033566,1.042286,1.189148,1.226165,1.117173
4940799,Toronto,Transit Shelter,Weston Rd (3227) SEC 18.5m S/O Bradstock Rd F/N - O,43.7389,-79.5392,68.3,47.3,North,94,76,0.808511,1.215331,Sat,0.113402,0.061856,0.010309,0.010309,0.010309,0.010309,,,,,,0.030928,0.030928,0.030928,0.041237,0.051546,0.051546,0.103093,0.164948,0.103093,0.051546,0.030928,0.061856,0.030928,0.846154,1,0.333333,0.5,1,1,,,,,,1,1,0.75,0.666667,0.714286,0.625,1,0.761905,0.833333,0.833333,1,1,0.75,1.116195,1.35737,0.470943,0.715675,1.479782,1.478817,,,,,,1.311439,1.330468,0.98674,0.890311,0.944569,0.810556,1.287309,0.979671,1.065709,1.075742,1.304711,1.314389,0.995086
7369673,Toronto,Transit Shelter,Fort York Blvd SS 17.6m E/O Bastion St F/E - O,43.637501,-79.403505,0,0,East,4089,3322,0.812424,1.511453,total,0.054343,0.045737,0.033466,0.026614,0.017689,0.010677,0.005418,0.004462,0.003187,0.008287,0.020876,0.038247,0.051952,0.044303,0.050677,0.051474,0.056892,0.067092,0.084781,0.090518,0.058964,0.061355,0.051155,0.061833,0.819712,0.797222,0.774908,0.795238,0.792857,0.797619,0.693878,0.636364,0.645161,0.787879,0.829114,0.83045,0.83376,0.820059,0.834646,0.819797,0.822581,0.803435,0.84984,0.849028,0.820399,0.82265,0.794554,0.798354,1.176005,1.179092,1.190842,1.245742,1.264476,1.306974,1.163834,1.043461,1.039682,1.208081,1.200206,1.156232,1.170239,1.145145,1.16878,1.162628,1.165451,1.13078,1.185207,1.189513,1.153659,1.160832,1.134243,1.143066
2270699,Toronto,Transit Shelter,Bay St. (Tor) WS 50m S/O Front St. F/E - L,43.645618,-79.378891,68.3,47.3,East,152,124,0.815789,1.206187,Sun,0.084507,0.06338,0.056338,0.028169,0.042254,0.028169,0.028169,0.028169,0.007042,,0.014085,0.014085,0.056338,0.056338,0.028169,0.056338,0.056338,0.042254,0.070423,0.035211,0.042254,0.028169,0.070423,0.06338,0.8,0.642857,0.8,1,0.857143,1,0.8,0.8,1,,1,1,0.888889,1,0.666667,0.727273,0.8,0.857143,0.833333,0.555556,0.75,0.8,1,0.9,1.055185,0.866717,1.113412,1.411353,1.23047,1.483136,1.208569,1.198188,1.479259,,1.374918,1.34201,1.222366,1.362129,0.889925,0.965178,1.054808,1.107888,1.058928,0.707475,0.967197,1.06489,1.326074,1.183963
7387551,Toronto,Static,HOOTERS - MF-Washroom-W-STA 4,43.64798,-79.39051,17,13,Main Floor,11,9,0.818182,1.234152,Fri,0.020833,0.041667,0.041667,0.041667,0.0625,0.020833,0.020833,0.020833,0.041667,0.020833,0.0625,0.0625,0.083333,0.083333,0.020833,0.0625,0.041667,0.0625,0.020833,0.041667,0.041667,,0.020833,0.0625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,,0.5,1,1.317587,1.347417,1.398509,1.434722,1.425377,1.478916,1.55102,1.514232,1.519251,1.429251,1.344778,1.27349,1.295738,1.288283,1.300118,1.316756,1.320048,1.306343,0.646913,1.296662,1.311272,,0.679829,1.331714
